ATH	Low_DS_1	Low_DS_2	Low_DS_3	Medium_DS_1	Medium_DS_2	Medium_DS_3	Elevated_DS_1	Elevated_DS_2	Elevated_DS_3	Low_EI_1	Low_EI_2	Low_EI_3	Medium_EI_1	Medium_EI_2	Medium_EI_3	Elevated_EI_1	Elevated_EI_2	Elevated_EI_3	Low_LI_1	Low_LI_2	Low_LI_3	Medium_LI_1	Medium_LI_2	Medium_LI_3	Elevated_LI_1	Elevated_LI_2	Elevated_LI_3
AT1G28470.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	2	0
AT1G28480.1	0	1	0	0	0	1	0	0	0	48	13	36	1	7	8	1	2	2	78	123	98	11	92	37	6	0	5
AT1G28490.1	151	424	229	304	266	286	381	338	255	773	440	581	131	434	952	468	100	470	553	518	347	448	557	392	415	300	416
AT1G28500.1	1	2	1	0	2	0	2	4	0	4	4	4	0	3	4	6	1	8	5	1	2	5	2	3	3	9	5
AT1G28510.1	9	19	7	12	16	18	24	22	17	127	84	94	45	158	260	142	21	149	147	93	81	270	231	176	236	210	197
AT1G28520.1	226	1309	623	762	698	740	549	559	465	644	439	559	144	656	1114	459	105	472	585	559	508	591	682	386	411	319	339
AT1G28530.1	71	345	159	345	282	301	391	454	363	367	254	256	74	324	526	312	87	403	402	390	350	544	529	314	386	268	295
AT1G28540.1	302	1471	773	1102	780	888	749	787	547	965	649	859	180	568	1328	771	146	794	1155	967	705	699	850	689	609	527	614
AT1G28550.1	2	41	8	29	23	20	25	36	33	12	9	10	2	8	12	2	0	3	5	4	8	1	5	3	1	2	1
AT1G28560.2	40	127	63	99	112	93	134	166	135	381	219	301	84	232	502	241	53	253	217	192	161	214	251	174	182	132	165
AT1G28570.1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	6	17	0	1	2	2	2	6	6	6
AT1G28580.1	22	19	7	17	18	23	24	34	38	114	81	75	60	185	258	300	70	337	236	164	226	545	518	301	647	487	540
AT1G28590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	1	0	1	5	6	4	6	5	12
AT1G28600.1	3	9	4	4	5	7	3	2	3	52	34	56	23	85	176	103	7	84	99	28	49	61	54	53	111	92	122
AT1G28610.2	4	6	2	7	1	3	1	2	3	2	2	2	0	2	4	1	0	8	62	2	5	2	7	2	4	1	5
AT1G28630.4	0	2	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
AT1G28640.1	119	573	218	441	367	394	453	482	304	372	239	244	88	350	704	457	98	483	609	616	461	566	658	458	535	307	390
AT1G28650.1	5	13	4	14	20	13	14	22	26	14	16	10	3	11	25	72	14	87	84	102	87	454	403	246	658	473	527
AT1G28660.1	12	0	0	5	1	2	1	1	5	30	21	14	15	42	77	128	28	140	49	99	64	738	643	302	819	611	644
AT1G28670.1	17	4	0	1	0	0	2	1	1	6	3	5	3	14	18	34	3	11	65	31	21	226	191	103	198	116	127
AT1G28680.1	17	91	35	78	64	50	69	55	55	210	82	123	40	155	222	129	32	150	228	178	170	243	294	173	238	166	189
AT1G28690.1	4	41	19	19	32	28	35	42	26	64	62	56	9	68	88	54	11	67	72	74	81	107	108	69	60	41	74
AT1G28695.1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
AT1G28700.1	0	6	0	0	2	0	1	0	0	1	0	1	1	0	2	1	0	0	1	1	0	0	0	1	0	1	0
AT1G28710.1	17	88	42	54	48	48	43	55	64	77	34	42	26	80	74	47	17	108	152	104	101	210	230	102	182	67	97
AT1G28760.1	16	127	72	104	96	89	140	123	102	400	212	304	84	333	504	269	56	290	182	247	185	306	326	204	199	142	147
AT1G28815.1	5	56	25	26	25	21	21	29	15	31	21	22	10	24	62	27	3	34	48	39	37	56	45	24	30	35	33
AT1G28960.1	97	369	165	253	215	210	253	263	222	549	347	458	96	431	738	331	62	323	324	300	245	293	321	239	292	208	234
AT1G29000.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29010.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29020.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AT1G29025.1	18	4	1	0	0	0	0	0	0	5	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
AT1G29030.1	140	405	187	367	308	331	482	520	382	592	433	482	183	860	1382	716	176	1004	820	856	688	1069	1207	725	803	521	639
AT1G29040.1	29	81	54	75	56	58	93	92	76	154	120	151	46	124	258	167	30	177	424	282	230	293	299	251	307	246	286
AT1G29041.1	2	9	9	6	6	16	6	13	9	23	15	20	4	17	42	13	4	19	41	27	26	25	34	27	38	14	23
AT1G29050.1	1	3	0	1	4	16	23	27	23	0	1	0	0	1	2	15	2	9	39	25	8	29	22	18	68	74	100
AT1G29060.1	100	380	212	202	142	196	155	168	121	412	270	354	64	215	388	222	50	205	222	164	118	156	192	155	154	112	133
AT1G29070.1	60	276	137	221	160	168	292	342	278	275	167	196	102	322	614	733	101	822	1357	510	445	1094	1119	879	1485	1506	1784
AT1G29080.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	29	21	8	25	17	7
AT1G29090.1	62	6	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	5	2	2	1	20	32	12
AT1G29100.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29110.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29120.5	687	2063	878	1198	1009	1053	1146	1229	871	1235	807	960	285	1188	2074	1166	271	1428	1068	1174	989	1418	1452	1027	1336	749	1014
AT1G29140.1	2	15	8	14	20	13	1	6	40	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0
AT1G29150.1	486	3470	1709	2238	1931	1948	1993	2202	1651	8812	5723	6930	1396	5664	10032	5387	1140	5537	3075	2809	2494	3270	3256	2513	2990	2129	2368
AT1G29160.1	1	0	0	0	0	3	0	1	0	0	1	0	0	1	2	0	0	1	6	0	0	1	3	0	3	0	3
AT1G29170.1	4	58	13	27	32	30	32	34	24	79	62	51	18	95	136	92	29	135	200	196	215	329	327	189	311	129	170
AT1G29179.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	3	1
AT1G29180.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0
AT1G29195.1	4	36	29	55	34	56	79	74	72	213	138	179	53	194	344	135	20	135	80	54	68	200	214	97	124	109	99
AT1G29200.2	6	60	31	48	43	53	34	42	28	78	40	59	21	57	102	45	7	34	62	38	14	37	40	36	30	24	26
AT1G29220.2	288	932	447	609	530	508	552	510	418	1302	771	1073	252	898	1798	729	135	755	683	641	517	629	709	541	523	384	467
AT1G29230.1	1	4	0	1	1	1	5	4	4	0	0	1	0	2	10	1	0	9	2	3	3	14	20	7	12	4	6
AT1G29240.1	10	72	20	67	82	97	163	199	158	38	30	29	30	135	210	206	44	233	198	203	157	440	455	300	480	299	445
AT1G29250.1	344	677	384	504	480	481	437	455	352	1694	1139	1410	518	1552	3260	2434	422	2458	2208	1933	1467	2999	2923	2559	2904	2902	3293
AT1G29260.1	145	989	564	699	605	712	1039	1076	844	1148	638	906	222	807	1400	746	116	673	580	607	445	624	719	465	583	482	536
AT1G29270.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	17	0	0	0	0	4	0	0	1
AT1G29280.1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	4	0	0	4	4	4	7	1	3	14	13	20
AT1G29290.1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	3	5	0	3	0	0	1	7	8	7
AT1G29300.1	2	14	7	6	6	6	9	14	8	17	8	8	2	12	28	21	1	19	21	28	23	56	55	39	107	77	94
AT1G29310.1	21	48	30	8	21	34	12	11	9	1425	915	1042	60	376	546	290	67	264	342	175	153	275	267	192	325	214	264
AT1G29320.1	401	1251	623	876	824	868	886	854	685	1435	882	1187	375	1346	2770	1550	319	1534	1327	1251	1061	1433	1651	1214	1289	885	1132
AT1G29330.1	541	1613	872	1300	951	1199	1394	1392	1145	1432	912	1163	237	989	1760	943	192	908	1258	1272	916	832	1042	750	814	620	708
AT1G29340.1	201	1609	835	1137	1100	1048	1547	1588	1157	1117	761	895	177	936	1374	614	115	655	627	624	617	604	739	478	545	399	401
AT1G29350.1	761	4484	1526	2680	2651	2470	3276	3399	2908	2965	2355	2532	539	3684	4740	1958	604	3035	3142	3557	3122	3854	4170	2663	3143	1316	2017
AT1G29355.1	123	706	277	385	308	333	431	468	390	456	175	249	106	518	424	159	49	276	333	299	227	474	598	198	288	134	162
AT1G29370.1	803	4581	1626	2748	2686	2543	3347	3625	2914	2979	2492	2537	558	3787	5069	2136	599	3160	3066	3605	3289	3961	4309	2771	3270	1397	2004
AT1G29380.1	0	2	4	2	4	2	7	1	5	8	5	5	0	8	26	9	2	9	18	8	6	9	10	6	5	3	11
AT1G29390.1	17	27	17	20	12	20	45	40	29	10	16	6	3	10	28	13	0	27	124	33	33	29	45	40	55	47	71
AT1G29395.1	1	5	3	0	0	5	0	1	2	3	1	2	0	0	0	6	2	1	28	8	9	1	1	0	0	12	103
AT1G29400.1	722	2858	1244	1794	1744	1763	1857	2129	1684	1602	1189	1508	292	1427	2422	972	204	1020	1665	1789	1589	1509	1760	1248	1070	618	905
AT1G29410.2	8	39	13	20	24	29	24	24	21	23	12	20	9	40	42	41	13	59	92	93	82	133	129	92	123	77	128
AT1G29418.1	15	144	43	80	69	78	112	118	125	644	400	558	293	758	1452	1242	277	1646	697	728	466	1654	1732	1097	1346	1354	1664
AT1G29420.1	9	69	17	38	24	29	53	68	65	356	191	286	151	374	812	674	139	907	377	400	247	880	906	569	693	759	895
AT1G29430.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	2
AT1G29440.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1
AT1G29450.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
AT1G29460.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
AT1G29465.1	14	84	37	64	61	60	65	82	60	195	126	179	81	211	368	250	45	286	184	191	102	240	241	188	182	163	194
AT1G29470.1	274	998	482	639	611	597	644	613	437	876	659	653	219	926	1426	1062	215	1162	1467	1063	1063	1597	1786	1131	1695	1243	1407
AT1G29480.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29490.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
AT1G29500.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1
AT1G29510.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0	1
AT1G29520.1	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	1	31	0	0	4	4	1	9	6	12
AT1G29530.1	5	4	2	11	4	8	5	9	7	21	8	17	2	23	56	43	9	42	127	69	56	105	105	81	128	111	142
AT1G29540.1	0	0	0	0	0	0	2	0	0	1	0	1	0	1	4	3	1	8	15	21	12	29	22	17	22	19	23
AT1G29550.1	3	15	9	7	4	7	8	10	9	28	17	19	10	24	62	19	7	34	102	70	43	82	88	62	82	70	72
AT1G29560.1	0	12	1	0	2	4	2	2	2	1	1	2	0	5	2	0	0	2	17	7	9	11	13	0	12	6	4
AT1G29570.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29580.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AT1G29590.2	8	10	15	8	1	7	4	10	3	26	16	24	5	23	23	12	3	25	44	47	49	56	50	49	39	33	51
AT1G29600.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT1G29620.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29630.2	5	12	10	11	14	9	6	7	4	40	21	21	5	33	32	21	4	39	80	51	52	68	79	52	76	49	32
AT1G29640.1	3	6	4	0	2	5	2	0	6	51	25	49	5	21	50	14	4	15	15	12	18	48	35	23	11	20	17
AT1G29660.1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	8	145	0	0	2	0	2	3	2	19
AT1G29670.1	192	1131	720	864	557	676	616	695	557	313	197	271	47	152	316	157	22	141	621	233	121	78	120	134	58	66	166
AT1G29680.1	2471	10950	5824	7658	6277	6670	6939	7687	5511	3110	2262	2906	395	1672	3646	1631	310	1541	3143	2922	1968	1057	1309	1214	600	489	665
AT1G29690.1	22	88	41	77	80	74	88	89	84	388	209	281	52	279	324	146	32	150	190	180	203	186	209	141	176	122	128
AT1G29700.1	42	150	75	119	99	100	116	134	117	47	40	39	13	76	110	75	21	89	236	209	167	170	169	130	172	104	138
AT1G29710.1	14	87	49	80	72	75	75	99	71	149	117	130	50	126	200	137	25	164	191	188	156	211	222	177	163	142	195
AT1G29720.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	37	0	0	0	0	2	0	2	18
AT1G29730.1	4	35	10	11	12	13	13	8	8	34	22	25	7	25	38	12	4	10	34	36	34	36	34	13	15	13	22
AT1G29740.1	0	5	0	0	3	2	1	2	0	12	13	17	1	15	16	17	3	18	20	11	11	19	18	10	20	13	20
AT1G29750.2	18	44	24	25	34	35	29	34	31	51	27	43	3	38	62	14	4	32	113	69	63	91	108	50	55	33	50
AT1G29760.1	303	1955	969	1674	1374	1484	1857	1922	1523	1601	947	1141	238	962	1698	757	158	785	700	747	712	706	824	595	577	345	442
AT1G29770.1	29	228	98	119	97	101	103	104	88	33	23	42	8	42	64	11	2	22	30	22	24	33	41	21	32	9	16
AT1G29780.1	0	25	11	11	14	6	13	11	11	2	6	5	1	6	8	1	1	4	2	7	13	15	17	8	11	7	9
AT1G29790.1	135	935	434	801	600	672	920	870	772	520	373	417	139	628	992	563	114	510	598	531	452	701	808	488	702	468	557
AT1G29800.1	44	275	114	218	207	194	153	205	171	332	198	302	46	198	390	207	41	179	272	282	195	222	255	187	165	123	184
AT1G29810.1	158	429	217	236	194	210	211	224	185	257	188	243	68	206	478	327	65	367	425	349	336	357	393	352	348	314	377
AT1G29820.1	143	552	289	334	317	350	401	443	321	445	310	375	100	408	780	473	104	499	431	419	420	583	531	400	471	371	373
AT1G29830.3	1	10	5	2	7	8	9	10	3	14	6	5	2	9	19	12	3	10	19	9	10	11	18	14	15	14	7
AT1G29840.1	4	9	6	10	12	6	4	13	3	20	7	10	6	33	40	34	8	40	117	81	66	125	106	92	118	107	104
AT1G29850.3	617	1152	667	774	739	752	825	790	630	1610	1131	1484	374	1243	2904	1573	298	1324	1308	984	885	1210	1254	1049	1059	919	1117
AT1G29860.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT1G29870.1	0	0	0	2	1	2	1	0	0	0	0	0	0	1	2	0	0	1	0	1	1	2	2	0	0	0	0
AT1G29880.1	218	861	415	676	658	553	722	743	635	1008	816	725	274	1371	1784	1263	309	1682	1478	1046	1195	2118	2083	1140	1785	1060	1130
AT1G29890.2	11	8	5	4	7	13	23	21	14	42	37	40	6	57	88	43	13	61	163	74	77	177	152	91	147	68	105
AT1G29900.1	246	1893	796	1467	1386	1283	1529	1608	1513	1109	1057	787	424	1950	2624	1934	433	2578	4114	3742	3828	5035	5469	3182	4103	2287	3054
AT1G29910.1	1	8	1	0	0	10	5	2	11	25	22	38	2	18	29	43	11	187	2925	22	30	30	22	68	39	161	915
AT1G29920.1	1	7	2	1	0	33	2	3	16	33	25	30	1	9	38	27	8	222	3957	23	20	18	13	58	34	179	996
AT1G29930.1	12	41	9	16	15	79	15	17	69	117	120	146	6	97	172	136	35	1189	20233	81	117	94	65	513	206	582	3563
AT1G29940.1	336	1318	448	816	956	906	1036	1107	961	1944	1583	1633	422	2197	3138	1473	462	2301	1896	1909	2028	3208	3382	1847	2230	1126	1461
AT1G29950.1	83	452	186	250	229	228	161	165	122	507	325	478	83	457	670	253	51	281	577	489	422	582	620	345	526	341	415
AT1G29951.1	83	456	181	245	228	228	160	163	121	501	319	473	81	452	656	243	50	275	559	483	411	563	604	330	517	341	415
AT1G29952.1	83	456	181	246	228	228	160	163	121	501	320	473	81	452	658	244	50	275	559	483	411	566	604	334	517	341	415
AT1G29960.1	32	75	45	47	48	48	40	32	28	88	59	74	15	83	164	94	25	88	115	113	98	119	129	102	113	107	125
AT1G29962.1	0	3	2	1	0	1	1	1	2	1	0	0	1	3	2	0	0	0	0	0	0	0	1	0	1	0	0
AT1G29965.1	67	189	96	125	117	125	130	130	104	668	402	503	220	712	1360	897	210	982	637	593	441	1090	1205	835	1153	913	1015
AT1G29970.2	531	1374	579	794	719	698	859	958	643	1309	883	1108	297	1099	2176	1208	289	1271	1098	1055	810	1420	1584	1191	1391	1057	1260
AT1G29980.1	8	57	27	49	60	61	73	78	77	36	26	40	75	216	474	729	139	856	886	1054	877	2050	1985	1516	2388	1924	2087
AT1G29990.1	114	322	133	268	217	225	240	273	197	550	372	460	171	544	1184	729	148	738	817	708	584	775	928	819	883	739	898
AT1G30000.1	47	183	71	130	136	126	148	160	142	471	344	356	90	413	732	443	58	398	459	458	441	549	558	406	479	339	394
AT1G30010.1	20	93	42	85	67	71	111	124	95	131	98	120	38	168	270	132	42	211	242	248	235	368	369	228	274	155	195
AT1G30016.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30020.1	10	27	19	21	16	18	28	30	20	23	21	26	10	52	58	31	5	46	63	67	45	79	90	43	56	44	44
AT1G30040.1	32	191	75	111	94	91	76	64	49	46	52	44	10	38	70	52	7	39	74	66	42	58	67	38	84	63	66
AT1G30050.1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0
AT1G30060.1	67	116	61	62	65	43	96	90	60	186	87	158	36	89	260	89	19	87	58	46	29	26	48	31	28	18	25
AT1G30070.2	1635	4987	2623	3246	2834	2852	3404	3712	2725	8690	5612	7869	1516	5018	12676	4590	873	4273	2941	2560	2018	2000	2117	2170	1572	1290	1519
AT1G30080.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0	2	2	1	1
AT1G30090.1	78	632	354	599	460	508	600	660	484	1088	654	787	194	755	1366	678	122	676	613	669	485	544	641	490	449	380	416
AT1G30100.1	4	35	12	28	35	21	11	12	17	167	139	159	15	122	154	111	27	132	94	80	86	102	108	62	89	40	49
AT1G30110.1	114	305	155	275	234	209	200	267	171	243	176	218	42	142	322	177	27	187	426	389	260	163	220	206	153	157	173
AT1G30120.1	8	2	0	4	2	6	6	9	7	18	21	15	6	34	24	20	6	33	381	16	18	98	90	61	75	63	87
AT1G30130.1	88	252	150	178	177	176	223	286	228	240	162	189	50	229	368	180	30	190	152	124	103	153	201	122	195	151	169
AT1G30135.1	27	71	56	94	94	109	77	85	84	107	61	77	13	80	150	70	9	51	54	49	41	44	51	42	46	35	27
AT1G30140.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30160.2	5	16	3	5	7	6	9	7	3	45	26	16	3	24	42	25	4	19	75	47	33	46	39	22	25	11	18
AT1G30170.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30190.1	58	513	213	153	131	134	29	31	19	95	81	85	5	32	54	9	3	9	50	36	30	15	23	15	5	4	5
AT1G30200.2	397	2483	1290	1476	1390	1330	1686	1794	1351	1024	662	755	156	666	1150	564	128	582	989	997	805	725	840	493	522	381	415
AT1G30210.1	25	142	54	121	125	115	126	155	103	225	178	211	60	279	536	346	84	421	509	461	348	574	665	419	500	367	407
AT1G30220.1	13	53	29	67	61	58	101	94	79	85	66	78	31	113	240	235	39	254	267	267	240	178	202	151	153	123	146
AT1G30230.2	1413	3171	1846	3829	3356	3079	4758	5159	4079	6037	4397	5066	2121	6428	14784	11766	2120	12172	18403	17060	13171	19085	20199	17721	22157	20781	25849
AT1G30240.2	31	200	99	155	158	131	162	152	129	441	314	320	116	526	694	457	117	589	561	488	520	729	820	466	583	304	366
AT1G30250.1	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	4	0	1	5	1	2	3	0	1	0	2	16
AT1G30260.1	11	32	24	37	40	47	45	45	40	60	63	76	14	58	84	41	8	43	116	76	54	43	46	34	24	19	37
AT1G30270.1	159	420	179	251	250	276	429	433	373	910	563	714	193	828	1390	728	163	818	565	526	469	878	1007	569	685	422	479
AT1G30280.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	71	0	0	2	1	2	2	0	4
AT1G30290.1	8	59	37	77	67	66	101	77	82	132	101	124	37	165	254	168	27	207	246	225	254	252	290	161	202	183	200
AT1G30300.1	52	112	47	95	61	72	99	109	87	196	104	137	26	132	238	100	18	157	141	155	136	189	197	131	158	130	139
AT1G30320.1	119	511	234	330	316	322	376	426	348	303	205	280	90	344	696	295	53	240	288	273	282	217	277	229	199	176	204
AT1G30330.2	50	243	112	221	204	189	209	302	276	386	296	325	86	632	844	411	139	694	738	545	538	949	1052	613	775	355	436
AT1G30350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30360.1	467	2668	994	1375	1214	1289	1357	1455	1203	1068	788	776	181	1000	1422	747	190	943	1885	1388	1287	1450	1457	900	1076	632	1179
AT1G30370.1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	1	4	5	2	10	4	1	2	3
AT1G30380.1	5	4	0	3	4	11	3	2	18	7	6	13	0	3	14	16	4	77	1402	5	8	12	7	33	19	85	549
AT1G30400.1	460	1862	753	905	849	850	1202	1217	1007	1559	1259	1185	330	1723	2274	1283	381	1758	1664	1520	1827	2526	2697	1403	1956	1074	1240
AT1G30410.1	11	47	18	24	43	31	57	63	42	32	31	13	14	61	66	57	18	101	249	224	232	319	344	200	293	179	222
AT1G30420.1	1	1	0	0	1	0	0	0	2	3	1	2	0	4	7	0	0	4	45	3	6	8	20	3	10	9	23
AT1G30440.1	9	63	25	59	41	38	56	43	46	128	73	107	31	140	174	130	26	151	291	190	169	232	272	162	204	161	178
AT1G30450.1	26	115	42	52	56	59	40	60	54	526	375	428	73	510	722	365	91	453	311	247	242	538	551	347	536	281	359
AT1G30455.1	1	4	1	3	1	1	0	3	1	1	0	0	0	2	0	2	0	1	0	3	1	0	2	1	1	1	0
AT1G30460.1	125	624	242	418	395	387	491	521	469	710	539	573	117	664	1022	421	105	505	474	439	406	642	668	424	556	303	349
AT1G30470.1	206	835	362	597	611	523	712	764	601	1140	876	1043	228	1168	1692	852	219	1188	950	816	685	1246	1324	810	933	654	724
AT1G30473.1	151	396	288	336	264	266	279	313	262	864	527	738	126	535	1035	384	76	377	250	190	155	191	207	180	166	125	138
AT1G30475.1	281	710	457	562	413	466	487	513	432	1580	989	1371	219	957	1874	708	129	718	432	363	308	351	418	309	314	217	252
AT1G30480.1	121	675	333	492	434	413	466	415	389	941	605	697	146	683	1108	494	96	542	525	473	434	521	638	437	459	337	394
AT1G30490.1	44	182	54	73	84	84	110	113	90	123	108	121	42	237	326	196	64	351	406	265	261	421	439	245	384	246	266
AT1G30500.2	1173	3817	1941	2191	1758	1787	1929	2323	1509	1049	742	989	181	615	1512	699	153	654	1765	1697	1102	952	948	841	642	469	633
AT1G30510.2	39	94	32	254	205	192	316	262	294	121	73	79	80	227	396	184	40	166	242	154	149	318	284	204	309	249	280
AT1G30515.1	0	0	0	0	1	0	0	0	2	1	2	2	0	2	4	2	1	1	15	10	4	14	14	12	6	14	15
AT1G30520.1	5	34	11	12	11	21	6	10	7	7	6	2	3	2	14	10	1	23	133	14	17	47	46	24	52	53	70
AT1G30530.1	18	96	54	93	80	93	181	191	130	169	115	138	49	184	260	182	22	189	517	132	118	274	261	182	224	136	178
AT1G30540.1	92	327	158	214	195	209	243	262	208	249	147	200	39	170	338	167	38	182	229	215	190	188	228	148	167	120	159
AT1G30550.1	0	5	4	4	4	3	5	4	2	21	15	12	4	16	26	23	5	26	44	51	33	58	65	48	45	41	50
AT1G30560.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30570.1	5	17	4	12	12	17	23	26	22	22	29	21	13	43	62	64	17	86	126	91	117	164	189	105	127	106	114
AT1G30580.1	1059	2871	1443	2118	1898	1961	2559	2702	2115	3713	2616	3121	922	3689	6900	4181	874	4549	4643	4157	3680	5624	5986	4288	5169	3779	4532
AT1G30590.1	194	604	285	448	469	453	652	648	565	676	425	474	242	906	1024	743	182	1088	1070	984	830	1585	1930	853	1298	824	892
AT1G30600.1	37	215	105	167	143	156	137	201	141	47	52	32	21	119	154	113	38	158	403	277	317	464	491	283	431	242	281
AT1G30610.1	34	137	72	131	115	84	146	135	83	131	94	126	48	152	204	198	40	275	322	247	268	388	458	273	405	316	303
AT1G30620.1	111	361	136	153	156	212	157	163	130	488	306	391	94	404	644	383	82	347	273	225	192	428	368	263	315	222	211
AT1G30630.1	152	320	169	248	213	239	293	348	255	992	651	792	226	865	1508	959	203	961	838	637	570	1121	1172	903	1182	952	1073
AT1G30640.1	97	383	171	248	286	267	334	397	293	292	230	279	53	254	388	199	52	285	163	231	191	213	241	194	207	118	190
AT1G30650.1	0	2	0	0	1	3	0	0	0	4	2	2	0	1	0	1	0	1	12	4	2	1	2	1	0	0	0
AT1G30660.1	8	18	4	5	12	5	9	10	7	50	28	36	4	42	68	30	7	28	24	27	19	28	27	9	26	16	19
AT1G30670.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30680.1	308	870	401	652	632	544	637	629	478	801	535	613	196	861	1269	752	161	916	863	656	624	1028	1163	714	786	522	626
AT1G30690.1	16	54	27	41	39	32	40	40	34	148	93	145	49	164	298	243	53	298	615	193	177	373	383	277	377	273	273
AT1G30700.1	4	9	1	8	2	9	2	2	3	421	31	301	36	211	278	140	15	36	35	81	129	16	14	21	124	113	67
AT1G30710.1	0	2	5	3	7	8	2	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30720.1	0	0	0	0	0	0	0	0	0	1	1	3	1	11	12	15	2	5	12	7	13	2	2	8	38	32	30
AT1G30730.1	0	0	0	0	2	0	0	1	0	1	0	3	0	1	6	5	1	2	15	27	12	20	22	6	17	13	13
AT1G30740.1	0	0	0	0	1	0	1	0	1	2	1	0	0	0	2	6	0	1	4	3	1	0	0	2	0	0	0
AT1G30750.1	0	0	0	2	0	1	1	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
AT1G30755.1	47	136	58	101	127	116	140	155	137	293	173	253	48	233	322	154	46	199	199	226	157	251	247	149	186	107	152
