ATH	Elevated_LI_1	Elevated_LI_3	Elevated_LI_2	Elevated_EI_1	Elevated_EI_2	Elevated_EI_3	Elevated_DS_1	Elevated_DS_3	Elevated_DS_2	Low_LI_1	Low_LI_2	Low_LI_3	Low_EI_3	Low_EI_1	Low_EI_2	Low_DS_1	Low_DS_3	Low_DS_2	Medium_LI_1	Medium_LI_2	Medium_LI_3	Medium_EI_2	Medium_EI_1	Medium_EI_3	Medium_DS_1	Medium_DS_3	Medium_DS_2
AT1G76680.2	243	222	220	443	61	316	68	69	92	504	740	769	2059	2121	1201	45	118	204	454	792	416	820	157	1453	100	135	110
AT1G76690.1	32	30	25	50	8	31	47	39	42	66	67	69	155	161	91	22	30	45	42	65	38	81	14	145	49	30	29
AT1G76700.1	304	258	187	459	95	456	960	813	1065	474	531	465	826	1029	562	599	797	2033	413	437	367	600	150	1204	1094	960	853
AT1G76705.1	24	30	22	34	4	41	27	27	24	43	33	25	45	68	24	3	13	6	41	65	32	48	10	72	10	16	14
AT1G76710.1	170	112	107	70	14	115	82	74	83	171	144	135	109	128	78	37	45	107	197	252	159	113	14	236	95	110	92
AT1G76720.1	496	290	324	224	53	365	280	228	272	303	295	310	179	231	162	95	123	248	607	821	337	320	60	316	198	163	190
AT1G76728.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G76730.1	117	110	85	22	2	31	1	7	4	136	17	19	6	7	6	6	1	1	69	59	37	5	5	10	0	5	4
AT1G76740.1	23	43	25	2	1	4	5	5	7	47	7	2	3	3	3	2	3	0	26	21	18	7	2	8	4	2	2
AT1G76750.1	14	12	12	19	1	25	30	35	24	17	14	9	35	46	32	7	33	35	21	11	18	26	11	88	50	36	37
AT1G76760.1	384	368	331	483	91	504	706	561	755	369	366	242	847	936	557	390	705	1202	415	397	353	631	161	1444	950	819	739
AT1G76770.1	1	1	1	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0
AT1G76780.1	10	8	8	3	0	11	6	4	4	19	1	2	1	1	1	1	1	5	10	8	3	7	1	2	2	0	3
AT1G76790.1	1201	1023	956	172	31	167	12	5	11	446	215	175	17	15	16	22	0	2	1182	947	575	59	14	88	11	4	8
AT1G76800.1	0	1	0	0	0	1	6	20	11	6	0	0	1	0	0	1	9	11	0	0	1	2	0	2	6	11	7
AT1G76810.1	3424	2524	2588	2477	640	3466	3042	2370	2809	3304	2933	3497	2580	3124	2722	913	1915	3659	4136	5091	2833	3784	672	4549	2521	2023	2378
AT1G76820.1	277	200	163	175	52	276	231	173	199	274	255	254	179	227	196	67	104	217	406	423	214	273	68	296	146	144	129
AT1G76830.1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0
AT1G76840.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT1G76850.1	1355	970	739	941	233	1110	1310	1154	1414	1594	1500	1565	834	981	853	618	795	2142	1601	1747	1171	1102	229	1826	1034	1108	1260
AT1G76860.1	1096	1312	1197	1320	222	1264	934	738	977	1240	960	774	1047	1192	798	577	823	1348	1116	1137	1123	868	303	2474	1200	971	962
AT1G76870.1	2	1	1	1	0	2	0	1	0	15	3	1	1	3	1	0	0	0	4	2	3	1	0	0	0	0	0
AT1G76880.1	935	604	603	706	163	880	399	345	409	917	819	781	455	567	460	96	325	680	1053	1218	757	802	157	1114	443	439	458
AT1G76890.2	144	103	59	114	16	149	149	144	135	75	54	40	44	61	40	9	23	57	87	100	67	85	20	156	59	85	64
AT1G76900.1	647	499	384	1067	214	1130	566	505	639	865	823	719	1694	2262	1436	174	422	957	833	1065	613	1316	320	2128	584	544	508
AT1G76910.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G76920.1	124	110	79	92	29	111	30	39	35	112	84	89	174	286	143	7	18	20	157	175	105	140	47	246	27	27	24
AT1G76930.1	74	146	73	12	1	22	2	0	0	215	7	61	0	0	1	6	0	0	2	1	9	6	0	6	3	1	2
AT1G76940.1	299	236	190	321	67	355	381	342	366	393	328	251	384	516	354	217	341	730	321	398	257	434	114	664	421	405	369
AT1G76950.1	467	264	227	304	75	486	379	320	394	483	476	442	341	377	313	68	169	434	657	661	412	493	108	580	273	265	314
AT1G76952.1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G76954.1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0
AT1G76955.1	3	6	1	11	1	21	20	17	18	5	2	0	8	8	4	1	4	15	3	5	3	6	2	12	15	13	11
AT1G76960.1	0	221	59	0	0	1	0	2	1	2	2	2	0	2	0	0	0	4	0	3	1	1	0	0	1	4	1
AT1G76965.1	0	0	0	1	0	1	7	16	6	0	1	1	1	0	2	1	3	14	0	0	0	3	3	4	7	5	4
AT1G76970.1	446	337	245	610	127	753	1168	990	1128	586	592	506	762	1028	644	427	675	1535	579	679	411	925	192	1306	1149	953	900
AT1G76980.1	62	52	53	110	25	120	197	183	196	122	90	83	191	169	89	55	196	378	95	83	83	136	39	294	217	201	207
AT1G76990.1	2105	2088	1417	1893	325	1722	8685	6751	9520	4314	4777	3611	1160	1471	1000	1543	3196	6957	3262	3652	2804	1731	407	3302	5231	4477	4690
AT1G76994.1	0	0	0	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
AT1G77000.1	420	335	304	577	125	600	2981	2435	3228	884	874	672	967	1072	746	756	1802	3580	531	639	499	719	155	1506	3103	2627	2700
AT1G77010.1	49	53	49	34	7	29	66	62	89	76	62	76	24	43	27	2	17	43	80	86	59	39	5	62	58	31	32
AT1G77020.1	15	9	10	10	2	15	16	8	8	27	11	7	9	10	3	4	2	15	16	16	4	14	2	14	8	5	6
AT1G77030.1	2074	1369	1215	1353	343	1761	588	539	526	1592	1730	1659	840	1221	864	145	253	573	2465	2885	1605	1663	338	2202	506	414	488
AT1G77060.1	344	323	231	188	25	182	227	197	272	183	99	110	36	49	28	25	82	147	215	237	158	106	16	170	182	169	148
AT1G77080.4	580	547	462	457	85	585	361	261	422	786	646	447	724	776	542	495	791	1610	733	756	577	568	174	1086	850	675	668
AT1G77090.1	321	314	268	384	81	402	617	537	692	805	761	580	326	393	335	275	445	836	493	490	364	309	97	644	554	632	651
AT1G77093.1	0	1	0	0	0	2	2	4	1	0	5	5	1	1	0	3	2	0	2	2	2	2	0	2	6	1	1
AT1G77100.1	110	80	59	348	82	370	94	115	106	421	331	293	149	197	163	51	92	138	138	212	136	200	50	350	71	87	91
AT1G77110.1	1	3	3	0	0	2	0	0	0	33	0	0	0	0	1	1	2	4	1	0	1	1	1	0	1	1	2
AT1G77120.1	1428	1046	920	5205	978	4901	16593	13574	18288	3339	3004	2804	10366	11332	7549	5574	10768	20372	1969	2355	1903	6698	1482	12554	14480	14331	12746
AT1G77122.1	527	518	412	404	70	394	474	382	471	470	413	263	298	359	255	71	310	503	443	503	361	321	86	606	476	362	359
AT1G77130.1	1026	868	737	802	162	882	836	684	888	971	944	832	603	798	574	101	283	661	942	1036	804	743	179	1328	454	421	438
AT1G77140.1	215	210	157	177	41	186	86	84	110	246	209	165	243	345	204	58	69	154	243	301	218	208	39	412	107	99	95
AT1G77145.1	8	5	11	3	0	6	2	3	0	4	1	1	0	1	0	0	2	2	4	7	2	3	0	2	0	4	0
AT1G77150.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT1G77160.1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77170.1	169	138	107	172	28	155	730	678	662	236	208	226	242	375	222	90	417	838	203	279	163	376	84	418	532	469	479
AT1G77180.1	2317	1901	1555	2511	457	2618	3739	3444	4301	3010	2622	2428	2708	3683	2861	1057	3153	6328	2506	2995	2222	3572	737	4428	3777	3217	3615
AT1G77200.1	17	17	10	10	0	9	2	3	6	9	6	8	0	1	0	2	2	7	10	16	9	2	1	8	9	1	2
AT1G77210.1	84	55	52	66	6	54	44	29	42	134	139	112	37	70	38	4	14	19	83	125	85	39	7	64	28	20	10
AT1G77220.1	426	348	321	440	68	480	458	386	459	445	447	388	616	753	493	118	260	442	539	620	374	585	139	954	426	391	362
AT1G77230.1	925	832	674	907	184	975	607	559	656	1044	1092	1012	839	1026	741	181	495	1147	1300	1443	1034	931	210	1596	536	566	561
AT1G77240.1	703	646	556	638	135	690	481	424	528	827	873	777	628	824	560	111	405	902	1028	1123	789	710	174	1180	445	457	452
AT1G77250.1	142	120	92	90	16	89	87	77	107	136	102	101	118	135	67	25	61	111	147	146	131	93	9	142	103	100	106
AT1G77260.1	248	172	157	185	45	168	130	105	157	349	292	249	223	275	231	52	100	164	309	327	193	253	43	392	130	132	113
AT1G77270.1	27	22	23	7	3	3	15	16	20	53	17	10	8	14	9	3	7	16	23	28	15	12	3	12	17	22	18
AT1G77280.1	453	372	261	262	49	244	475	386	550	343	372	329	285	355	228	174	223	519	509	571	307	256	56	460	304	346	352
AT1G77290.1	118	92	81	125	18	140	136	98	144	165	139	109	129	169	102	17	72	135	120	148	97	124	28	232	107	97	96
AT1G77300.1	1064	704	720	670	187	1003	1414	1131	1426	1031	844	1201	1153	1227	1152	414	1009	2172	1360	1479	951	1242	189	1726	1419	1125	1304
AT1G77310.1	176	129	88	126	37	168	68	45	64	154	134	130	148	201	134	34	64	183	153	209	140	165	34	210	81	78	80
AT1G77320.1	205	141	113	121	36	197	107	122	120	239	222	208	129	146	116	51	98	170	238	323	165	165	25	226	125	122	115
AT1G77330.1	4	4	4	0	0	0	1	0	0	3	2	4	0	0	1	30	0	1	1	2	3	0	0	0	1	0	0
AT1G77340.1	2	0	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	1	0	1	0	2	0	0	0
AT1G77350.1	362	360	292	216	32	194	82	54	80	250	173	182	125	144	80	33	30	58	406	324	288	135	46	288	91	51	43
AT1G77360.1	143	134	123	146	27	145	353	284	350	234	248	175	146	165	99	38	116	220	199	255	171	130	37	270	277	259	242
AT1G77370.1	1554	1737	1439	2931	478	2354	3136	2351	3531	2779	2423	1814	3014	3669	2421	1915	2709	4599	1799	1957	1731	2230	730	5442	3547	3315	3193
AT1G77380.1	7	3	6	7	5	9	182	182	200	9	5	9	49	30	27	39	72	162	5	9	9	27	1	20	154	133	129
AT1G77390.1	12	5	10	7	1	6	1	0	0	13	15	10	7	9	5	3	1	7	10	11	5	3	0	4	1	1	0
AT1G77400.1	46	43	37	16	4	18	17	20	11	43	40	31	14	17	8	2	19	34	39	40	21	13	1	40	29	16	13
AT1G77405.1	30	27	20	19	7	34	11	6	13	48	33	37	34	59	32	5	10	16	54	54	36	38	8	80	19	11	13
AT1G77410.1	242	140	117	84	24	92	24	18	26	119	92	129	93	142	94	15	16	76	227	250	140	105	23	192	28	19	18
AT1G77420.1	107	86	64	32	9	57	34	41	56	95	62	54	17	33	30	13	7	23	74	63	63	39	9	44	25	24	29
AT1G77440.1	1118	1000	936	1453	295	1605	304	312	364	1102	906	737	1691	2121	1311	236	278	526	1183	1225	986	1290	415	2634	381	344	278
AT1G77450.1	1181	1196	1009	2135	394	1769	2895	2147	3800	2950	2731	2033	2739	2928	2061	2003	5208	10078	1392	1522	1397	1527	409	3918	4900	4770	4755
AT1G77460.1	135	74	55	28	8	60	20	20	18	201	121	112	43	56	58	2	5	16	141	182	104	64	7	74	10	15	18
AT1G77470.1	498	417	398	434	96	519	505	407	539	534	546	428	327	454	320	161	231	484	642	698	463	447	116	792	398	320	364
AT1G77480.1	1135	943	740	804	179	1018	342	282	416	1178	1072	895	325	452	313	63	107	223	1255	1257	972	530	144	1060	201	195	209
AT1G77490.1	32	43	23	2	1	22	8	10	4	285	8	13	4	4	4	3	6	12	23	21	32	7	1	12	5	6	7
AT1G77500.1	244	189	143	276	50	299	177	183	197	238	235	246	260	253	227	34	94	224	268	302	206	329	81	488	115	129	144
AT1G77510.1	2787	1853	1937	2198	452	2324	256	233	231	3670	3110	3795	3561	5104	3555	178	279	637	2914	3254	2279	1926	461	2922	260	288	232
AT1G77520.1	3	2	3	2	0	1	5	2	1	9	3	1	3	2	3	5	2	14	4	0	5	2	0	0	4	2	2
AT1G77525.1	0	1	0	0	0	1	2	11	2	8	1	8	6	8	5	1	0	0	4	3	1	0	0	2	0	0	0
AT1G77530.1	3	8	12	15	1	26	46	56	64	64	66	54	29	36	21	38	90	209	27	24	17	11	1	28	57	50	41
AT1G77540.1	554	659	540	929	142	982	623	484	664	739	533	474	842	999	665	236	456	879	605	624	658	673	214	1632	631	548	560
AT1G77550.1	974	714	639	601	154	761	307	274	333	807	762	729	245	255	195	14	47	102	1286	1414	778	520	119	808	153	161	163
AT1G77570.1	219	236	254	553	75	551	166	139	218	344	264	225	608	608	422	41	239	395	288	319	288	444	174	924	287	233	224
AT1G77580.2	165	147	158	23	7	22	8	7	6	122	45	50	5	4	6	1	9	4	150	149	102	17	3	18	5	4	6
AT1G77590.1	71	67	50	8	2	24	17	16	13	247	21	20	8	5	5	8	10	14	78	70	57	15	4	16	12	6	9
AT1G77600.3	330	205	151	225	62	347	284	258	289	380	350	392	207	196	204	136	142	421	442	485	257	258	41	398	231	231	257
AT1G77610.1	827	662	516	1048	200	1092	449	343	500	686	624	559	907	1011	758	159	303	816	1001	1009	663	1066	268	1794	509	471	395
AT1G77620.1	186	139	121	94	27	151	180	165	180	222	231	211	111	173	128	99	168	420	258	318	131	137	14	182	195	186	188
AT1G77630.1	260	141	152	136	33	226	40	31	38	221	143	130	43	69	53	5	4	39	260	299	164	138	28	202	25	35	31
AT1G77640.1	6	5	7	5	2	7	3	2	3	8	6	2	1	0	0	0	0	0	4	1	3	1	2	0	2	0	1
AT1G77650.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77655.1	3	0	1	6	0	2	0	0	2	1	3	2	1	3	1	0	1	0	1	2	1	0	0	4	1	1	1
AT1G77660.1	25	22	21	27	7	17	20	18	30	33	13	13	21	22	10	3	5	9	11	13	13	31	4	50	7	9	10
AT1G77670.1	1014	913	796	866	161	888	219	176	217	910	799	709	708	928	584	56	148	303	1228	1205	852	872	221	1480	202	161	150
AT1G77680.1	789	654	496	1004	193	1101	3112	2762	3407	1212	1157	1135	1749	2067	1590	724	2001	4663	1191	1232	818	1685	323	2632	3009	3123	3015
AT1G77682.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT1G77690.1	2	3	2	0	0	1	0	0	0	44	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0
AT1G77700.1	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G77710.1	1310	1614	1384	928	153	767	636	564	685	1665	1275	1056	581	633	444	273	374	653	1219	1377	1257	495	175	1224	478	433	415
AT1G77720.1	238	139	131	198	36	213	158	136	174	185	167	159	134	184	95	57	137	325	236	246	179	194	29	242	201	180	186
AT1G77730.1	0	0	0	1	0	1	0	0	1	0	1	2	1	4	2	0	0	2	1	1	2	0	1	4	2	1	0
AT1G77740.1	326	276	296	162	25	217	78	70	82	295	160	157	60	96	76	17	36	55	289	370	224	154	29	154	55	34	35
AT1G77746.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77750.1	590	672	627	435	61	422	120	90	138	431	348	297	214	283	171	36	53	83	525	527	435	205	73	492	104	83	65
AT1G77760.1	3182	1988	1947	1676	380	2336	691	659	655	1093	870	1122	398	557	399	27	104	199	2474	2528	1223	1793	365	1716	333	352	309
AT1G77765.4	6	4	8	1	1	3	4	3	12	5	5	1	5	16	7	0	8	20	6	5	4	7	4	8	12	9	17
AT1G77770.1	171	156	118	164	37	195	319	231	328	201	141	150	328	377	255	131	306	679	197	234	143	287	54	530	425	389	359
AT1G77780.1	0	0	0	0	0	2	2	1	1	0	0	0	2	5	4	5	8	20	0	0	0	0	0	4	7	5	11
AT1G77790.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77800.1	1387	873	838	1130	299	1646	2111	1777	2333	1581	1545	1717	1880	2312	1812	878	2063	4321	1841	2204	1229	1827	301	2402	2576	1987	2218
AT1G77810.1	341	359	273	361	75	384	257	209	256	495	445	351	242	258	193	98	203	331	403	460	356	317	64	548	276	182	259
AT1G77815.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77830.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77840.1	1484	1269	1120	1960	373	1868	711	608	670	1353	1208	1018	1888	2499	1595	138	533	1035	1713	1825	1257	1948	519	3544	726	570	617
AT1G77850.1	260	172	170	238	62	286	128	109	145	267	236	223	261	370	241	38	95	218	385	339	221	361	87	458	130	124	129
AT1G77855.1	8	1	1	0	0	1	0	0	0	7	1	1	1	0	0	0	0	0	0	3	1	1	0	0	0	0	0
AT1G77860.1	4	2	3	0	1	0	2	0	1	1	2	0	3	1	1	0	1	2	2	0	1	0	1	4	1	0	0
AT1G77870.1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AT1G77880.1	112	125	108	127	17	114	120	104	108	113	73	79	64	58	54	24	38	76	105	114	106	80	34	168	71	53	50
AT1G77885.1	51	51	51	63	6	43	20	11	12	44	34	24	29	49	26	3	9	20	58	69	44	36	19	94	12	14	10
AT1G77890.1	97	72	63	72	27	105	113	110	126	110	104	87	95	114	81	61	63	137	101	142	73	99	15	168	89	99	82
AT1G77910.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AT1G77920.1	291	254	204	412	87	433	362	274	373	568	515	392	475	468	341	158	232	485	436	477	373	426	126	1036	442	357	341
AT1G77930.1	395	446	299	701	150	697	915	756	917	801	703	575	791	864	619	339	685	1166	560	625	550	633	170	1402	951	955	929
AT1G77932.1	1	1	1	4	1	0	9	9	8	2	0	0	2	4	0	1	8	14	0	0	0	8	0	2	9	5	3
AT1G77940.1	8383	8216	7679	6137	1104	5866	1779	1439	1957	5849	5271	3886	3622	4592	2947	1264	1442	2595	8099	8454	6727	4442	1248	9178	2338	1851	1591
AT1G77950.1	914	817	637	1324	304	1717	3064	2569	3103	2433	2335	1825	1537	1918	1223	1821	2448	6015	1811	2369	1314	1549	373	2732	3371	3307	3000
AT1G77960.1	93	63	56	67	8	135	162	184	179	204	204	131	48	102	63	68	165	316	155	234	95	120	19	99	224	217	182
AT1G77980.1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1
AT1G77990.1	23	36	20	4	1	3	0	2	0	28	5	7	0	1	0	0	1	0	14	16	11	1	1	2	1	1	0
AT1G78000.1	238	155	133	233	73	405	79	80	63	493	498	469	653	896	678	91	136	313	463	547	276	523	99	566	133	102	120
AT1G78010.1	486	402	322	377	96	439	455	372	510	524	498	390	373	433	285	141	246	528	580	621	444	393	107	680	347	323	310
AT1G78020.1	8	31	8	9	1	11	10	8	12	226	4	2	2	3	0	5	3	4	2	6	4	2	1	4	3	3	1
AT1G78030.1	7	3	4	4	0	1	0	1	1	6	3	1	1	3	2	0	0	2	6	9	4	4	2	4	0	0	0
AT1G78040.1	3437	3736	3197	2245	411	1982	886	767	972	2400	1691	1464	855	1053	708	343	642	1091	3196	2843	2381	1184	386	2498	948	856	753
AT1G78050.1	159	125	105	150	20	169	214	172	186	101	90	81	56	61	35	35	60	97	123	117	109	166	37	254	214	175	157
AT1G78060.1	732	570	574	62	6	50	20	17	22	199	143	143	6	11	6	11	9	5	532	507	356	29	3	32	21	19	20
AT1G78070.1	1112	915	698	1631	356	1855	6573	5649	6585	3623	3897	3195	2087	2984	1712	1246	2423	5121	1833	2222	1537	1999	501	3494	5174	5088	4458
AT1G78080.1	2473	1843	1473	1450	251	1462	204	264	212	1779	1533	1357	628	915	436	9	43	81	2830	3439	1671	1623	435	2152	160	199	152
AT1G78090.1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
AT1G78100.1	252	222	261	147	30	165	230	199	206	289	241	202	216	254	146	69	238	538	322	353	236	172	54	304	313	229	276
AT1G78110.1	39	44	39	50	8	56	58	55	69	32	32	24	40	50	37	7	44	92	33	46	30	48	9	78	49	53	59
AT1G78120.1	0	4	1	0	0	3	0	0	0	28	0	0	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0
AT1G78130.1	215	129	112	153	44	229	404	315	427	273	253	251	296	428	244	65	184	429	275	384	162	335	66	358	282	277	251
AT1G78140.1	206	153	145	211	56	266	404	322	421	297	258	190	290	362	235	234	326	790	218	276	195	294	64	508	459	362	339
AT1G78150.3	1544	1528	1137	1306	214	1275	735	630	830	1597	1576	1214	1008	1216	874	326	534	1225	1620	1848	1397	1194	320	2418	888	676	698
AT1G78160.1	0	0	0	2	1	0	1	1	2	0	0	0	1	1	0	0	0	1	0	0	0	5	0	2	0	1	1
AT1G78170.1	160	137	109	100	20	131	74	51	64	60	29	30	24	17	5	8	12	22	174	151	95	71	24	128	17	15	18
AT1G78172.1	12	15	7	5	1	13	3	1	0	11	10	10	7	8	3	1	4	9	7	11	5	9	1	14	3	2	2
AT1G78180.1	262	270	249	178	34	226	75	58	67	250	184	129	86	101	69	22	35	68	255	250	203	119	35	202	49	58	63
AT1G78190.1	435	529	527	403	64	497	59	39	55	318	283	223	97	143	91	6	28	58	443	486	383	181	61	404	40	33	30
AT1G78200.1	147	163	138	161	30	151	184	137	176	179	139	98	109	125	74	38	66	92	157	176	132	155	53	284	111	98	98
AT1G78210.1	31	35	28	9	2	14	4	5	4	110	8	10	9	12	4	1	4	2	24	22	19	20	2	20	5	6	2
AT1G78220.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78230.1	3	9	3	1	0	4	1	6	1	12	1	2	3	1	5	1	1	5	5	1	0	2	0	2	1	2	2
AT1G78240.1	1099	897	698	704	166	831	810	722	913	975	887	877	487	557	399	140	259	585	1357	1398	879	728	158	1124	578	517	530
AT1G78260.1	11	2	10	2	0	2	1	1	2	34	1	1	0	2	1	5	0	0	9	7	2	2	1	4	2	0	0
AT1G78270.1	565	400	361	790	139	776	1275	1118	1318	629	674	545	572	742	506	158	627	1290	632	719	464	744	153	1194	1005	863	955
AT1G78280.1	466	362	266	459	135	617	1033	894	1085	642	631	605	797	915	674	390	629	1422	634	736	516	741	139	1096	887	922	829
AT1G78290.2	320	214	160	877	158	983	35	52	48	399	447	320	837	1281	724	15	30	69	389	511	316	905	257	1488	44	27	39
AT1G78300.1	746	633	453	644	117	733	98	121	123	599	281	268	343	476	336	31	19	74	742	696	454	599	138	840	60	40	30
AT1G78310.1	197	130	112	303	55	382	530	453	609	249	222	236	450	571	383	98	333	875	271	296	183	470	108	654	655	467	471
AT1G78320.1	3	3	0	1	0	1	6	3	3	5	2	1	9	5	1	0	5	4	1	1	4	4	2	6	5	2	4
AT1G78340.1	52	25	43	248	34	141	26	20	15	65	116	80	218	321	89	17	33	53	34	77	45	201	41	366	20	25	25
AT1G78360.1	7	7	10	4	0	3	1	1	0	0	2	0	0	0	0	0	0	0	2	7	3	0	0	2	1	0	1
AT1G78370.1	312	448	297	152	27	168	19	16	27	1927	70	75	11	212	14	12	109	11	240	173	180	31	7	58	7	16	6
AT1G78380.1	6928	6615	5905	13821	2320	12531	14600	10667	15641	7354	6364	5593	24863	25758	15952	4032	11727	21971	7393	8354	7340	19704	5584	43412	13585	10160	10939
AT1G78390.1	137	92	58	214	49	204	193	173	214	148	146	170	319	442	297	35	91	211	132	161	104	222	48	402	124	140	99
AT1G78400.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78410.1	8	8	14	14	3	14	4	2	3	8	7	3	16	13	6	2	3	8	8	10	5	10	1	40	6	10	8
AT1G78420.1	1458	1135	972	2091	453	2239	3258	2747	3515	1676	1649	1526	2660	3297	2099	1335	2572	5576	1826	2094	1360	3009	654	4826	3283	2880	2717
AT1G78430.1	2	0	1	0	0	3	3	2	1	55	0	0	2	0	0	0	0	0	0	1	2	4	1	4	0	1	1
AT1G78440.1	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78450.1	0	1	0	0	0	3	0	1	0	24	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AT1G78460.1	0	4	0	1	0	2	41	101	32	30	0	0	0	2	0	27	49	53	1	0	0	0	1	4	79	60	107
AT1G78470.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78476.1	45	58	56	36	7	48	18	16	18	61	41	28	19	15	10	4	14	24	44	39	44	26	7	50	16	20	15
AT1G78480.1	47	59	56	38	7	49	18	17	21	63	41	30	20	16	11	3	15	24	44	40	47	26	7	52	16	22	16
AT1G78490.1	6	1	0	0	0	8	0	0	0	190	0	0	0	0	1	0	0	0	0	0	9	0	0	0	1	0	0
AT1G78500.1	18	9	13	11	3	22	37	25	28	16	20	15	9	8	3	7	13	43	13	17	7	12	1	22	12	16	11
AT1G78510.1	356	297	254	428	86	430	395	332	402	490	430	356	437	563	379	167	403	824	468	517	365	458	155	798	438	385	382
AT1G78520.1	0	6	2	0	0	0	0	2	0	0	2	1	0	1	0	0	0	2	1	5	1	0	0	0	0	0	0
AT1G78530.1	17	13	12	2	0	3	0	0	0	3	3	2	1	0	0	0	0	0	0	0	3	2	0	0	0	2	0
AT1G78540.2	180	146	120	145	30	192	210	190	222	188	182	198	109	141	104	66	95	236	238	267	131	172	28	212	146	173	179
AT1G78550.1	153	132	107	155	33	191	183	197	246	173	162	123	127	149	125	55	119	232	159	207	133	148	31	322	195	216	181
AT1G78560.1	690	648	480	381	76	447	473	413	499	869	846	747	325	365	230	152	253	584	773	852	649	393	85	706	372	386	396
AT1G78570.1	417	299	222	711	145	838	815	679	835	1247	378	406	1672	1771	1238	261	674	1580	463	539	402	1697	256	2302	600	710	702
AT1G78580.1	760	534	445	546	143	773	535	426	524	1244	1186	1271	452	520	436	657	1048	2516	1073	1248	724	696	116	872	822	908	828
AT1G78590.1	279	233	189	252	33	257	375	305	456	325	292	250	215	229	156	115	225	421	283	289	242	218	67	394	383	346	296
AT1G78600.2	765	518	443	1201	241	1267	1578	1258	1624	1273	1221	1000	1464	1903	1289	333	813	1841	967	1096	813	1454	309	2384	1353	1185	1040
AT1G78610.1	269	219	219	170	28	158	44	55	47	155	115	133	137	160	109	22	23	47	174	182	144	133	27	174	33	31	31
AT1G78620.2	286	316	228	417	73	413	106	111	125	320	224	188	371	473	294	21	34	82	328	318	244	326	85	578	72	96	79
AT1G78630.1	3949	4223	3426	1921	358	2251	1371	1141	1585	3091	1556	1209	716	838	619	670	1168	2058	2686	2853	2323	1084	330	2394	1549	1316	1358
AT1G78640.1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78650.1	232	179	176	106	28	138	48	28	31	252	203	188	73	110	59	37	54	118	227	267	172	81	14	130	52	45	35
